,recording,name,stoichiometry,rate_mVenus,rate_pamCherry,density_mVenus,density_pamCherry
0,20190429_1,barttin,1,0.1956005078024058,0.15328467153284672,1.9311397170672344,3.0205005831051617
1,20190429_2,barttin,1,0.1807937722219316,0.11578947368421053,0.778591169260793,1.793471200834563
2,20190429_3,barttin,1,0.18170683332193868,0.0975609756097561,1.3477927621526238,2.7263922160115936
3,20190429_4,barttin,1,0.15183456599757764,0.10909090909090909,1.94429084061943,2.9721952251863106
4,20190429_5,barttin,1,0.09933464295269386,0.07317073170731707,1.2964262008206613,1.9904725507549548
5,20190429_6,barttin,1,0.11778887716463692,0.04905660377358491,1.0255508673230191,2.6127129238943585
6,20190429_7,barttin,1,0.16974748884024296,0.05859375,0.786704484425349,2.762206856426781
7,20190429_8,barttin,1,0.2504870104133337,0.10756972111553785,0.9587650646678424,2.9566707084068193
8,20190429_9,barttin,1,0.14557655257679938,0.07142857142857142,1.295001295001295,3.1646594146594147
9,20190429_10,barttin,1,0.1620854690094717,0.07964601769911504,1.0146738169762188,2.9387648309103764
10,20190429_11,barttin,1,0.1686736024412021,0.12643678160919541,2.0231042726734954,3.979091341988154
11,20190429_12,barttin,1,0.24618774315292322,0.08934707903780069,0.8166425792611983,2.871563852076062
12,20190429_13,barttin,1,0.15324178562221025,0.12886597938144329,3.4998953393743055,5.5325856456484654
13,20190429_14,barttin,1,0.16457868723490873,0.09574468085106383,1.9254280700396136,4.153279397153512
14,20190429_15,barttin,1,0.14700246779672482,0.11912225705329153,2.3169839061311928,4.847590441905687
15,20190429_16,barttin,1,0.1628237409996383,0.10074626865671642,1.6988899761784737,3.9721205977127383
16,20190429_17,barttin,1,0.22771884938268425,0.12692307692307692,2.296920898297077,5.275896910498963
17,20190317_2,bClC-K,2,0.2795120688902897,0.055248618784530384,0.4463994188134652,2.6429679875781353
18,20190317_3,bClC-K,2,0.23509390241446082,0.11952191235059761,1.3303533418475948,3.2337819694141534
19,20190317_4,bClC-K,2,0.2942795630618612,0.07792207792207792,0.6824336128581412,3.2934839577066817
20,20190317_5,bClC-K,2,0.10487355629535117,0.02,0.3866655448210326,3.239398008833984
21,20190317_6,bClC-K,2,0.29024643885991724,0.11895910780669144,1.0025624290891466,2.9044190542282147
22,20190317_7,bClC-K,2,0.25361515892967224,0.09090909090909091,0.6687942191001334,2.473555089760052
23,20190317_8,bClC-K,2,0.340204862822383,0.09792284866468842,0.42173287909808616,1.419115746454144
24,20190317_9,bClC-K,2,0.222122068339322,0.07174887892376682,0.611969751747409,2.1392788757665837
25,20190317_10,bClC-K,2,0.24250098218127059,0.10921501706484642,1.3892989343996243,3.5249526361466197
26,20190317_11,bClC-K,2,0.22969132245104054,0.08189655172413793,0.7191302237619455,2.763599620242187
27,20190317_12,bClC-K,2,0.16681765908833304,0.03636363636363636,0.4692033677540924,2.514636799057089
28,20190317_13,bClC-K,2,0.2139764337082523,0.08582089552238806,1.1621439475137225,4.653650654454513
29,20190317_14,bClC-K,2,0.27118047479059426,0.07526881720430108,0.5338351858600583,2.616451466499298
30,20190317_15,bClC-K,2,0.24592823711123377,0.1076923076923077,1.0430191530409396,2.4929303932571907
31,20190317_16,bClC-K,2,0.23051662573637496,0.11917098445595854,1.5880233037291185,4.495279974563944
32,20190206_1,ClC-2,2,0.19878260925823157,0.1219047619047619,1.3636676613354524,2.530894085024592
33,20190206_2,ClC-2,2,0.22177393959240027,0.1293800539083558,0.8025661571334648,1.9974979910877346
34,20190206_3,ClC-2,2,0.13321743304244515,0.047058823529411764,0.3079424517146236,1.0802425687132033
35,20190206_4,ClC-2,2,0.2505052104997082,0.15172413793103448,1.7597760892985685,3.3780152277152147
36,20190206_5,ClC-2,2,0.2322006489545002,0.1456953642384106,0.7985538355256665,1.57645541668429
37,20190206_6,ClC-2,2,0.15017338004112046,0.04455445544554455,0.7078463350548155,2.683917353749509
38,20190206_7,ClC-2,2,0.20986542773743028,0.05,0.8233839063102176,4.516322172671716
39,20190206_8,ClC-2,2,0.20298051650688154,0.05384615384615385,0.530992999388296,2.444780268016946
40,20190206_9,ClC-2,2,0.1642330152542853,0.040339702760084924,0.5293021680216802,3.1317044941282743
41,20190206_11,ClC-2,2,0.10027002154696588,0.04580152671755725,0.7715287379024294,1.8752434601795158
42,20190215_1,ClC-2,2,0.24659892620163404,0.15591397849462366,1.0346095405375266,2.063168732884775
43,20190215_2,ClC-2,2,0.25761706147149915,0.1625615763546798,1.4002571590668587,2.4109528210208353
44,20190215_3,ClC-2,2,0.32381093706349784,0.208955223880597,1.344865890606267,2.42075860309128
45,20190215_4,ClC-2,2,0.23653213029959233,0.1581769436997319,2.129561603003292,3.524405805320684
46,20190215_5,ClC-2,2,0.22853077759448745,0.09126984126984126,0.800155142026786,3.1146978682921866
