,recording,rate_mVenus,rate_pamCherry,density_mVenus,density_pamCherry
0,20190303_1,0.1009254026859976,0.08264462809917356,1.7619622953674676,2.0544888540578192
1,20190303_3,0.1769596467379592,0.0621301775147929,0.5865085590653143,1.8482172153960634
2,20190303_4,0.15894669735684833,0.0962962962962963,1.3129068089780795,3.0421011427540865
3,20190303_5,0.1885607604879215,0.1056338028169014,1.4768137137854187,3.686965129839569
4,20190303_6,0.1160791507276453,0.10526315789473684,3.995792067698889,5.463942941057951
5,20190303_7,0.1435986583530326,0.09090909090909091,0.9226220602625097,1.8598889151323608
6,20190303_8,0.17668929378748283,0.0647887323943662,1.0456749527403368,3.9121970239590214
7,20190303_9,0.16361096471185582,0.07394366197183098,1.4129254234438207,3.8110799259376567
8,20190303_10,0.14601148407372294,0.0411522633744856,1.1508031057131765,3.71226808294573
9,20190303_12,0.17789842190064784,0.12448132780082988,2.0201005143249366,5.197167686854155
10,20190303_13,0.14734709943322688,0.09883720930232558,2.016600808630539,5.899028533657558
11,20190303_14,0.1636225298226604,0.10638297872340426,1.7209766400704913,4.846573920198516
12,20190303_15,0.13051348627592313,0.06666666666666667,1.1386270890011658,4.357708612226684
13,20190303_16,0.19646758526619557,0.14285714285714285,1.8124442468763282,3.870445456232675
14,20190313_2,0.1930815016107318,0.07964601769911504,0.41818092179400496,1.3645903763804372
15,20190313_3,0.18229748942425447,0.09217877094972067,0.7014975257402826,1.6714694131836363
16,20190313_4,0.17405303133844294,0.08273381294964029,0.9424894173639873,2.0483943385451173
17,20190313_5,0.15499674092173735,0.125,1.3406209767478252,1.7157170013301184
18,20190313_6,0.2239236273695777,0.10434782608695652,0.8614616515559912,2.073889161153312
19,20190313_7,0.22475422974741965,0.10437710437710437,0.6482187784379851,1.5508460021769
20,20190313_8,0.1756271054639581,0.0738255033557047,0.5387931034482758,1.6230310770540655
21,20190313_9,0.15222122616317696,0.16233766233766234,3.096961171056194,5.0402871387034285
22,20190313_10,0.25026283355472106,0.08450704225352113,0.6284332139340513,1.590011746098202
